Fund Holdings as of,"30/Aug/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"NKE","NIKE INC CLASS B","Equity","0.35","168.03","923,041.00","155,098,579.23","155,098,579.23","Consumer Discretionary","US6541061031","New York Stock Exchange Inc.","United States","USD"
"LLY","ELI LILLY","Equity","0.35","262.31","589,543.00","154,643,024.33","154,643,024.33","Health Care","US5324571083","New York Stock Exchange Inc.","United States","USD"
"ACN","ACCENTURE PLC CLASS A","Equity","0.35","337.00","455,733.00","153,582,021.00","153,582,021.00","Information Technology","IE00B4BNMY34","New York Stock Exchange Inc.","United States","USD"
"ABBV","ABBVIE INC","Equity","0.35","120.57","1,268,939.00","152,995,975.23","152,995,975.23","Health Care","US00287Y1091","New York Stock Exchange Inc.","United States","USD"
"DHR","DANAHER CORP","Equity","0.35","327.01","466,553.00","152,567,496.53","152,567,496.53","Health Care","US2358511028","New York Stock Exchange Inc.","United States","USD"
"NOVN","NOVARTIS AG","Equity","0.34","91.77","1,651,536.00","151,568,835.24","151,568,835.24","Health Care","CH0012005267","SIX Swiss Exchange","Switzerland","CHF"
"MC","LVMH","Equity","0.34","737.44","202,951.00","149,663,678.06","149,663,678.06","Consumer Discretionary","FR0000121014","Nyse Euronext - Euronext Paris","France","EUR"
"AVGO","BROADCOM INC","Equity","0.33","498.89","293,024.00","146,186,743.36","146,186,743.36","Information Technology","US11135F1012","NASDAQ","United States","USD"
"WFC","WELLS FARGO","Equity","0.33","48.41","3,001,018.00","145,279,281.38","145,279,281.38","Financials","US9497461015","New York Stock Exchange Inc.","United States","USD"
"COST","COSTCO WHOLESALE CORP","Equity","0.33","455.93","317,315.00","144,673,427.95","144,673,427.95","Consumer Staples","US22160K1051","NASDAQ","United States","USD"
"T","AT&T INC","Equity","0.32","27.23","5,174,972.00","140,914,487.56","140,914,487.56","Communication","US00206R1023","New York Stock Exchange Inc.","United States","USD"
"MRK","MERCK & CO INC","Equity","0.32","76.50","1,837,496.00","140,568,444.00","140,568,444.00","Health Care","US58933Y1055","New York Stock Exchange Inc.","United States","USD"
"CVX","CHEVRON CORP","Equity","0.31","98.39","1,399,559.00","137,702,610.01","137,702,610.01","Energy","US1667641005","New York Stock Exchange Inc.","United States","USD"
"7203","TOYOTA MOTOR CORP","Equity","0.30","86.75","1,522,200.00","132,047,266.28","132,047,266.28","Consumer Discretionary","JP3633400001","Tokyo Stock Exchange","Japan","JPY"
"MDT","MEDTRONIC PLC","Equity","0.30","133.84","978,462.00","130,957,354.08","130,957,354.08","Health Care","IE00BTN1Y115","New York Stock Exchange Inc.","United States","USD"
"AZN","ASTRAZENECA PLC","Equity","0.30","117.83","1,105,839.00","130,304,313.06","130,304,313.06","Health Care","GB0009895292","London Stock Exchange","United Kingdom","GBP"
